rowid,consumption,income,floor_area,property_age,tenure,bedrooms,property_type,region,country,adults
516,23511.9244353516,58063.1892768827,151 to 200,1984 to 1992,Owner-occupied,6,end terrace,Wales,Wales,2
517,7202.97471799107,26044.8694651433,50 or less,Pre 1919,Privately rented,4,purpose built flat,North West,England,4
518,13114.1404476098,24285.1977009923,Over 250,1984 to 1992,Privately rented,6,unknown,York and Humber,England,2
519,21307.5615377798,39520.5351947097,151 to 200,1965 to 1983,Privately rented,5,semi-detached,East of England,England,1
520,14493.7780823761,34037.2638725211,Over 250,Pre 1919,Privately rented,4,bungalow,South East,England,2
521,21587.4739210724,25681.113560753,101 to 150,1965 to 1983,Council/Housing Association,6,converted flat,York and Humber,England,4
522,13215.1315994842,30428.6884538535,50 or less,Pre 1919,Unknown,5,semi-detached,York and Humber,England,5 or more
523,17284.6099072059,32120.87283229,201 to 250,Pre 1919,Privately rented,6,purpose built flat,South West,England,5 or more
524,15631.7896059881,39005.2387904967,201 to 250,1919 to 1944,Owner-occupied,5,converted flat,North East,England,5 or more
525,28661.2633474202,42254.3316082737,101 to 150,1993 to 1999,Council/Housing Association,5,end terrace,London,England,1
526,18651.0697786431,41887.3296190687,51 to 100,1965 to 1983,Council/Housing Association,6,converted flat,North West,England,5 or more
527,9427.64624038643,33325.4666254608,50 or less,Pre 1919,Council/Housing Association,4,mid terraced,South East,England,1
528,12043.661163348,28267.6356300128,50 or less,1965 to 1983,Council/Housing Association,5,mid terraced,York and Humber,England,5 or more
529,16263.8356070328,34627.3428269977,Over 250,Post 1999,Owner-occupied,5,mid terraced,East of England,England,5 or more
530,6417.76187839166,47620.408094027,51 to 100,1919 to 1944,Council/Housing Association,3,detached,North East,England,2
531,6838.47746322748,40235.0608098947,201 to 250,1984 to 1992,Privately rented,4,detached,South East,England,2
532,9797.78702844398,43208.2115137377,101 to 150,1984 to 1992,Unknown,7,end terrace,North West,England,2
533,13152.9477723484,32511.8324250781,50 or less,1945 to 1964,Council/Housing Association,5,converted flat,East of England,England,5 or more
534,20030.4757379777,30885.6396909942,Over 250,Post 1999,Unknown,7,detached,Wales,Wales,2
535,13469.5726185527,37626.8375835548,201 to 250,Pre 1919,Council/Housing Association,5,unknown,London,England,5 or more
536,15365.0737348894,34762.5464701432,151 to 200,1945 to 1964,Council/Housing Association,4,purpose built flat,North East,England,5 or more
537,14378.9462091758,66701.6168891112,151 to 200,1919 to 1944,Unknown,4,end terrace,East of England,England,1
538,11602.7633589517,12380.7687090588,50 or less,1965 to 1983,Owner-occupied,5,bungalow,North East,England,3
539,20564.862974781,37366.9857325485,51 to 100,1919 to 1944,Owner-occupied,5,semi-detached,East of England,England,1
540,9904.66746012288,42653.6168977147,51 to 100,1945 to 1964,Unknown,4,purpose built flat,York and Humber,England,2
541,13671.8891092753,12854.9276751365,201 to 250,1993 to 1999,Unknown,4,end terrace,South West,England,4
542,13153.9080199067,29541.8308398355,50 or less,1919 to 1944,Privately rented,6,mid terraced,South East,England,4
543,16966.9907222917,38847.6929383287,Over 250,Pre 1919,Owner-occupied,6,semi-detached,South East,England,4
544,21627.3116739293,38253.0724608897,50 or less,1919 to 1944,Council/Housing Association,6,converted flat,East of England,England,5 or more
545,16886.0582408107,26929.6398268855,51 to 100,1984 to 1992,Council/Housing Association,7,end terrace,East Midlands,England,4
546,20655.8220431994,38206.7558425154,50 or less,1919 to 1944,Privately rented,6,purpose built flat,West Midlands,England,4
547,17967.9885033302,49224.3927831237,51 to 100,Post 1999,Owner-occupied,7,purpose built flat,London,England,5 or more
548,11952.3521283501,18181.0713630175,50 or less,1965 to 1983,Council/Housing Association,4,bungalow,Unknown,Unknown,2
549,15015.4755336865,47034.4837697216,Over 250,1945 to 1964,Unknown,6,detached,South East,England,2
550,20627.0811117411,47869.1726756831,Over 250,Post 1999,Unknown,5,purpose built flat,North West,England,2
551,7893.01424908712,15231.769929313,50 or less,Pre 1919,Privately rented,7,end terrace,North East,England,4
552,16068.4793255115,20804.9828568572,50 or less,Pre 1919,Owner-occupied,6,purpose built flat,London,England,2
553,13979.972792377,33110.0029066118,201 to 250,Pre 1919,Council/Housing Association,4,end terrace,West Midlands,England,1
554,18467.6222205054,39874.8741251937,Over 250,Post 1999,Unknown,5,bungalow,York and Humber,England,1
555,17914.0301691855,47745.9715229731,50 or less,1919 to 1944,Unknown,5,mid terraced,North East,England,3
556,15966.5884341634,34388.3191877572,151 to 200,1919 to 1944,Unknown,5,end terrace,South East,England,5 or more
557,21133.3371996872,43751.7220807739,Over 250,1919 to 1944,Council/Housing Association,5,end terrace,London,England,4
558,8045.46984057955,39005.2666257446,Over 250,1919 to 1944,Privately rented,4,semi-detached,West Midlands,England,4
559,18610.3451421145,48285.9344668378,Over 250,1984 to 1992,Unknown,6,end terrace,West Midlands,England,5 or more
560,7810.0593706846,34445.0002307336,Over 250,1965 to 1983,Owner-occupied,4,detached,South East,England,5 or more
561,17207.3440703267,38990.9593845719,151 to 200,Post 1999,Council/Housing Association,4,detached,South East,England,2
562,15049.108876491,37399.6105817995,101 to 150,Post 1999,Council/Housing Association,5,detached,East of England,England,5 or more
563,18855.3923570435,48826.8999236203,51 to 100,1919 to 1944,Council/Housing Association,4,converted flat,East of England,England,2
564,15003.4898806821,44099.526535955,Over 250,1919 to 1944,Privately rented,5,detached,South West,England,2
565,7857.12036625908,26188.554915501,101 to 150,1965 to 1983,Privately rented,6,bungalow,East of England,England,1
566,5954.978241803,28301.6910527797,201 to 250,1993 to 1999,Council/Housing Association,4,mid terraced,Wales,Wales,2
567,17004.8681114494,51590.2593252349,201 to 250,Pre 1919,Privately rented,5,end terrace,Unknown,Unknown,5 or more
568,14341.4775745975,,50 or less,1945 to 1964,Council/Housing Association,2,purpose built flat,West Midlands,England,4
569,12184.1560455885,21880.1409035151,50 or less,1965 to 1983,Unknown,6,end terrace,South West,England,4
570,13313.5695105525,45669.7831387997,50 or less,1919 to 1944,Owner-occupied,3,detached,London,England,2
571,11749.6351682246,29789.3287056766,51 to 100,Post 1999,Owner-occupied,5,bungalow,East Midlands,England,2
572,13979.9363566151,18065.0425079471,51 to 100,1965 to 1983,Privately rented,5,end terrace,East of England,England,5 or more
573,10621.1440794078,41571.2129965301,50 or less,Pre 1919,Owner-occupied,3,purpose built flat,East Midlands,England,2
574,6064.46937347929,25789.7664068198,51 to 100,1919 to 1944,Privately rented,7,semi-detached,South East,England,4
575,13707.9048306046,41562.3605598926,Over 250,1984 to 1992,Owner-occupied,5,detached,Wales,Wales,2
576,19193.6290626153,56046.9212302127,Over 250,1919 to 1944,Privately rented,6,mid terraced,York and Humber,England,2
577,22800.013306816,51558.3168228346,Over 250,1984 to 1992,Privately rented,4,semi-detached,South West,England,5 or more
578,14671.8992703385,30156.8948040351,151 to 200,1993 to 1999,Owner-occupied,5,detached,West Midlands,England,2
579,14311.6727339613,31850.2143305547,151 to 200,Pre 1919,Unknown,4,end terrace,East of England,England,2
580,18834.8963264202,28328.2633587911,151 to 200,1965 to 1983,Privately rented,5,end terrace,West Midlands,England,5 or more
581,14893.7736608616,25996.626187775,50 or less,Post 1999,Owner-occupied,5,semi-detached,North East,England,4
582,12775.8190588539,36176.4785470979,50 or less,1945 to 1964,Privately rented,5,converted flat,North East,England,5 or more
583,7128.19006314289,23246.764018682,201 to 250,1965 to 1983,Privately rented,5,bungalow,North West,England,5 or more
584,9180.95348016865,34222.8663388802,Over 250,Pre 1919,Privately rented,4,bungalow,East Midlands,England,4
585,16421.8836384279,42970.2539612233,151 to 200,1919 to 1944,Council/Housing Association,4,end terrace,East of England,England,4
586,8331.33897986447,30629.4419907968,50 or less,Pre 1919,Owner-occupied,4,converted flat,North East,England,2
587,19207.2369813935,34196.8353474096,Over 250,1919 to 1944,Unknown,5,purpose built flat,East Midlands,England,2
588,8822.08991988815,13705.4059089883,50 or less,1919 to 1944,Owner-occupied,5,end terrace,South East,England,4
589,13819.8231957824,33702.1847170719,151 to 200,1945 to 1964,Unknown,5,mid terraced,Wales,Wales,2
590,14650.105257441,23739.4713828477,51 to 100,Post 1999,Unknown,5,end terrace,North West,England,4
591,14604.1859430036,39439.1621350456,151 to 200,1945 to 1964,Council/Housing Association,4,end terrace,West Midlands,England,5 or more
592,15320.1085037076,41331.1704049313,Over 250,1945 to 1964,Privately rented,3,purpose built flat,South West,England,4
593,17253.5889475054,38959.5543453265,50 or less,1965 to 1983,Owner-occupied,4,end terrace,South West,England,1
594,14111.5195759314,23207.7894754403,50 or less,1919 to 1944,Owner-occupied,4,bungalow,London,England,5 or more
595,13580.8396656998,25332.7662273875,51 to 100,1965 to 1983,Privately rented,5,purpose built flat,South West,England,1
596,15355.529648884,29541.2700647283,Over 250,1919 to 1944,Council/Housing Association,6,mid terraced,North East,England,2
597,12778.8792929411,32983.3318764727,Over 250,1984 to 1992,Owner-occupied,5,mid terraced,East of England,England,3
598,21324.1356739143,62046.5776102187,Over 250,1984 to 1992,Owner-occupied,3,semi-detached,York and Humber,England,2
599,5249.36859823445,15588.2892922631,51 to 100,1919 to 1944,Unknown,6,end terrace,Wales,Wales,2
600,19114.8684639232,17664.1105457276,50 or less,1919 to 1944,Unknown,5,bungalow,York and Humber,England,4
601,13582.3291997377,31268.64284818,Over 250,1984 to 1992,Council/Housing Association,4,bungalow,South West,England,2
602,16491.5776861245,27407.1047696783,50 or less,Post 1999,Council/Housing Association,4,purpose built flat,West Midlands,England,2
603,18941.5063685086,17348.4883737351,Over 250,1919 to 1944,Council/Housing Association,5,converted flat,London,England,2
604,18284.3708217311,28842.2134625043,151 to 200,1919 to 1944,Owner-occupied,6,purpose built flat,South West,England,2
605,11795.2484533553,27143.2575435687,50 or less,1945 to 1964,Privately rented,5,bungalow,London,England,1
606,21442.4745633658,29815.9404633412,101 to 150,1919 to 1944,Council/Housing Association,5,converted flat,Wales,Wales,4
607,7624.93259640434,33224.9497587457,50 or less,1945 to 1964,Privately rented,4,bungalow,West Midlands,England,5 or more
608,18405.2504154361,45624.7746498312,Over 250,Post 1999,Unknown,5,semi-detached,South East,England,2
609,12440.738198644,28235.3964930031,50 or less,Post 1999,Council/Housing Association,6,converted flat,East of England,England,4
610,6346.83379534956,11421.0087184808,201 to 250,Pre 1919,Owner-occupied,6,mid terraced,Wales,Wales,1
611,6570.93086291937,31054.8742738149,Over 250,1965 to 1983,Council/Housing Association,4,purpose built flat,York and Humber,England,1
612,15723.9301553392,26505.2498291409,51 to 100,Pre 1919,Owner-occupied,3,bungalow,South West,England,1
613,24299.1539690454,35174.8132016873,51 to 100,1919 to 1944,Privately rented,5,end terrace,West Midlands,England,5 or more
614,15846.5594867704,36014.4304703163,151 to 200,Post 1999,Owner-occupied,5,unknown,London,England,4
615,19563.9617224961,29147.8577542535,151 to 200,1984 to 1992,Owner-occupied,5,purpose built flat,South West,England,3
616,18297.6637657734,34275.8785807718,51 to 100,1965 to 1983,Owner-occupied,7,detached,South West,England,5 or more
617,11821.5884003276,23454.3717673581,51 to 100,1984 to 1992,Owner-occupied,5,bungalow,West Midlands,England,5 or more
618,18796.9833685853,41191.2285777396,51 to 100,Post 1999,Council/Housing Association,6,end terrace,North East,England,3
619,16189.3702322166,27046.2616741187,50 or less,1965 to 1983,Privately rented,5,mid terraced,West Midlands,England,3
620,15556.8491108825,26446.3972452946,Over 250,1945 to 1964,Owner-occupied,5,end terrace,West Midlands,England,4
621,19000.9943457666,28726.8183783924,50 or less,1965 to 1983,Unknown,6,purpose built flat,London,England,2
622,17901.3407560864,36746.0493632375,201 to 250,1984 to 1992,Owner-occupied,4,detached,Unknown,Unknown,4
623,11944.6543642439,42145.3994700195,Over 250,Pre 1919,Privately rented,5,end terrace,North East,England,2
624,16375.2927108487,26825.7895275612,51 to 100,Pre 1919,Privately rented,5,bungalow,North West,England,5 or more
625,10793.0558160169,31690.2368233585,51 to 100,1965 to 1983,Council/Housing Association,6,end terrace,Wales,Wales,3
626,17394.0771296438,30006.6195270106,51 to 100,1945 to 1964,Council/Housing Association,5,mid terraced,London,England,2
627,12784.0942396479,21430.5109825485,Over 250,1965 to 1983,Council/Housing Association,5,end terrace,South West,England,2
628,16620.1436460996,45584.5294157003,51 to 100,Post 1999,Privately rented,5,mid terraced,South East,England,2
629,16256.2436792588,29699.0001295107,51 to 100,Post 1999,Council/Housing Association,5,bungalow,East of England,England,5 or more
630,13489.505622129,47458.2708866507,Over 250,Post 1999,Unknown,3,purpose built flat,East of England,England,1
631,16679.7714389072,29014.9926193919,50 or less,1984 to 1992,Council/Housing Association,6,semi-detached,Wales,Wales,2
632,17151.7558398534,42047.850475402,Over 250,1945 to 1964,Owner-occupied,5,detached,North West,England,2
633,13659.6910355493,42856.8256208372,151 to 200,1945 to 1964,Council/Housing Association,5,end terrace,East of England,England,2
634,19741.5086380587,58471.2358076456,Over 250,1984 to 1992,Unknown,5,mid terraced,East of England,England,2
635,20699.8856144458,31621.0112214021,Over 250,Post 1999,Owner-occupied,6,mid terraced,West Midlands,England,2
636,11788.9413969265,31347.3838505587,201 to 250,1919 to 1944,Council/Housing Association,5,converted flat,West Midlands,England,4
637,11291.582916967,38889.5639799339,50 or less,1919 to 1944,Council/Housing Association,6,converted flat,West Midlands,England,5 or more
638,16886.850531786,30954.1647239251,50 or less,Post 1999,Privately rented,6,mid terraced,South East,England,5 or more
639,10699.4314524049,35121.3591733171,51 to 100,Pre 1919,Privately rented,5,mid terraced,South East,England,4
640,12710.7829296839,27511.2878954554,50 or less,1984 to 1992,Privately rented,4,end terrace,East of England,England,4
641,18143.1654295312,26280.3870408687,Over 250,1993 to 1999,Owner-occupied,6,end terrace,South West,England,4
642,12174.2215144058,10085.9420998125,50 or less,1945 to 1964,Council/Housing Association,5,purpose built flat,London,England,2
643,6299.01552897588,30044.7868489797,50 or less,1919 to 1944,Privately rented,5,purpose built flat,London,England,5 or more
644,17542.6425585586,33091.0913922848,151 to 200,1945 to 1964,Privately rented,4,converted flat,South East,England,2
645,7710.78532859315,42685.9620037359,151 to 200,Post 1999,Privately rented,5,end terrace,London,England,5 or more
646,8786.34626266842,17236.3882621448,151 to 200,1919 to 1944,Council/Housing Association,5,purpose built flat,East Midlands,England,1
647,1574.25107145916,16018.2509314484,51 to 100,Pre 1919,Owner-occupied,5,bungalow,East Midlands,England,2
648,18263.1634903255,44550.223245383,Over 250,Post 1999,Council/Housing Association,5,detached,South East,England,5 or more
649,15750.5017178348,32084.3468762915,151 to 200,1984 to 1992,Unknown,4,bungalow,North West,England,4
650,16665.1105815379,39990.844669433,101 to 150,1965 to 1983,Privately rented,6,end terrace,York and Humber,England,3
651,18324.2822206188,49705.676008271,Over 250,1984 to 1992,Privately rented,4,mid terraced,West Midlands,England,2
652,14478.8208793029,53631.6850679947,Over 250,Pre 1919,Unknown,5,end terrace,South West,England,4
653,9866.02989444542,29221.3237690585,51 to 100,1919 to 1944,Council/Housing Association,4,end terrace,North West,England,3
654,17102.9708582441,28019.8519320965,Over 250,1945 to 1964,Owner-occupied,4,end terrace,South West,England,2
655,20311.7192243887,28869.1945687575,51 to 100,1965 to 1983,Unknown,5,purpose built flat,West Midlands,England,1
656,8156.20265308628,21947.6088776467,Over 250,1919 to 1944,Privately rented,5,bungalow,South East,England,5 or more
657,12030.5347918565,26878.3458202795,151 to 200,1993 to 1999,Privately rented,5,purpose built flat,East Midlands,England,4
658,13392.5723211525,20881.599087691,101 to 150,Post 1999,Privately rented,4,bungalow,West Midlands,England,4
659,9070.51456493221,33544.4363100381,Over 250,1984 to 1992,Privately rented,5,converted flat,South West,England,2
660,17670.9188840336,49728.0265325078,201 to 250,1993 to 1999,Unknown,5,semi-detached,East Midlands,England,5 or more
661,12064.0764668882,26753.5141185054,50 or less,1984 to 1992,Owner-occupied,6,purpose built flat,Wales,Wales,5 or more
662,20110.2025891116,29085.747571699,Over 250,Post 1999,Council/Housing Association,3,mid terraced,West Midlands,England,1
663,14891.2943021841,21767.9410927887,51 to 100,1919 to 1944,Council/Housing Association,6,semi-detached,East Midlands,England,2
664,17816.9013893519,43759.5001995954,Over 250,Post 1999,Unknown,4,purpose built flat,South East,England,5 or more
665,21428.567762198,40405.2831405685,101 to 150,1945 to 1964,Unknown,6,detached,North West,England,5 or more
666,15811.1484753383,16772.8165601802,51 to 100,1919 to 1944,Privately rented,4,unknown,North West,England,4
667,19329.9466034553,36890.0884594159,Over 250,1984 to 1992,Unknown,6,unknown,Unknown,Unknown,4
668,15574.4753090428,34353.6173109838,Over 250,1965 to 1983,Owner-occupied,6,purpose built flat,Wales,Wales,4
669,8105.10402058685,19116.3198212218,51 to 100,Pre 1919,Unknown,4,purpose built flat,Wales,Wales,1
670,14756.8948014266,22126.3099879965,50 or less,1984 to 1992,Unknown,5,end terrace,West Midlands,England,3
671,17774.5956497105,32280.164279304,50 or less,1965 to 1983,Owner-occupied,5,mid terraced,South East,England,5 or more
672,16783.5095762699,28971.8279120105,101 to 150,1945 to 1964,Council/Housing Association,4,mid terraced,West Midlands,England,5 or more
673,13905.5718982903,26405.8523941616,50 or less,1965 to 1983,Council/Housing Association,5,purpose built flat,South West,England,4
674,9381.3318165044,6724.83055176275,50 or less,1984 to 1992,Owner-occupied,4,mid terraced,London,England,4
675,17461.1797559376,34814.9741114392,51 to 100,Pre 1919,Unknown,4,end terrace,South East,England,2
676,10685.8386156105,38416.7682885907,Over 250,1919 to 1944,Unknown,3,purpose built flat,East of England,England,5 or more
677,9233.34060343062,38930.1671774685,201 to 250,1965 to 1983,Unknown,4,purpose built flat,Wales,Wales,2
678,17238.9541703739,55387.8760884645,Over 250,1945 to 1964,Council/Housing Association,4,end terrace,Unknown,Unknown,1
679,9316.27007407822,30677.6310112683,50 or less,1965 to 1983,Unknown,4,unknown,East of England,England,1
680,15719.9263569205,24656.7969303819,50 or less,Post 1999,Council/Housing Association,3,bungalow,East of England,England,2
681,14672.2581055069,38165.1483278009,51 to 100,Pre 1919,Owner-occupied,5,converted flat,South West,England,2
682,8902.72988704681,38075.9193715552,50 or less,1965 to 1983,Privately rented,3,bungalow,North East,England,1
683,19775.8479847093,56124.6516140495,Over 250,1945 to 1964,Privately rented,6,detached,York and Humber,England,2
684,12088.6957050886,38513.7161600801,151 to 200,Pre 1919,Privately rented,5,mid terraced,West Midlands,England,4
685,19861.1931795366,51834.8870452766,51 to 100,1945 to 1964,Privately rented,5,detached,Wales,Wales,2
686,12600.9786722289,35534.7169365087,Over 250,Pre 1919,Owner-occupied,4,unknown,East of England,England,2
687,12168.7717386227,19056.6883192945,50 or less,1945 to 1964,Unknown,5,purpose built flat,North East,England,2
688,14524.8277761759,25264.2474339059,50 or less,1965 to 1983,Council/Housing Association,4,purpose built flat,South East,England,2
689,13106.729734122,49574.7601754503,Over 250,Post 1999,Owner-occupied,4,semi-detached,East of England,England,2
690,13113.0665970157,38516.471891886,201 to 250,1984 to 1992,Unknown,5,semi-detached,Unknown,Unknown,5 or more
691,10854.0883618409,23468.5746911297,Over 250,Pre 1919,Unknown,4,converted flat,East Midlands,England,1
692,9399.82404155936,21682.37911971,50 or less,Pre 1919,Privately rented,4,mid terraced,East of England,England,2
693,17317.8441726719,27458.1928766396,Over 250,1984 to 1992,Privately rented,6,mid terraced,South West,England,2
694,11164.4481046133,31404.9819746565,101 to 150,Pre 1919,Unknown,3,end terrace,East Midlands,England,2
695,8691.03506782367,25244.5176048523,151 to 200,Post 1999,Unknown,3,bungalow,York and Humber,England,1
696,12458.5398409461,22479.6994417789,Over 250,Post 1999,Privately rented,6,mid terraced,South West,England,4
697,11188.9170372982,41393.9928631191,50 or less,Pre 1919,Privately rented,4,purpose built flat,West Midlands,England,3
698,5151.89501653236,24275.6977339187,101 to 150,1945 to 1964,Privately rented,3,converted flat,Wales,Wales,2
699,13397.5115149013,,Over 250,1993 to 1999,Privately rented,5,detached,North West,England,3
700,15385.2969506719,30611.7846814357,Over 250,1965 to 1983,Privately rented,5,converted flat,North West,England,1
701,15937.3012362974,36346.414651435,50 or less,Post 1999,Owner-occupied,3,end terrace,London,England,1
702,16362.5448222582,44795.0402774964,50 or less,1984 to 1992,Council/Housing Association,4,converted flat,North West,England,4
703,10322.9932116615,35506.9697502748,51 to 100,Post 1999,Unknown,4,mid terraced,East Midlands,England,1
704,13249.7937609598,40868.7527554661,Over 250,Pre 1919,Council/Housing Association,5,converted flat,South East,England,2
705,10287.1558148551,12073.5496813249,50 or less,1965 to 1983,Owner-occupied,6,unknown,East of England,England,2
706,11903.5198043684,32400.4727744625,Over 250,1984 to 1992,Privately rented,6,end terrace,South East,England,1
707,9416.7737256007,26500.5920907285,50 or less,Pre 1919,Unknown,6,bungalow,East of England,England,4
708,9819.39101032548,22612.2746760255,51 to 100,1945 to 1964,Council/Housing Association,4,end terrace,North East,England,2
709,17390.6961187345,30895.930286211,51 to 100,1965 to 1983,Owner-occupied,6,end terrace,South East,England,2
710,13479.7564719629,47964.0111620757,50 or less,1919 to 1944,Council/Housing Association,5,end terrace,East Midlands,England,5 or more
711,13538.6348734281,36374.9206217576,Over 250,1984 to 1992,Privately rented,5,mid terraced,East of England,England,5 or more
712,22159.9275258234,39478.9107066364,51 to 100,1965 to 1983,Unknown,6,detached,South West,England,5 or more
713,14406.958019048,41984.6397580619,50 or less,1919 to 1944,Owner-occupied,4,mid terraced,North West,England,5 or more
714,12330.1894781446,26061.6291181291,50 or less,1984 to 1992,Owner-occupied,6,converted flat,South East,England,5 or more
715,17898.6004703858,37940.3041421625,151 to 200,1984 to 1992,Council/Housing Association,5,converted flat,East Midlands,England,2
716,12549.182043987,44905.8010323008,Over 250,1993 to 1999,Owner-occupied,5,end terrace,North West,England,3
717,20611.8651708755,36196.8946731652,50 or less,Post 1999,Unknown,3,end terrace,London,England,2
718,13021.4108175095,24370.5536560031,Over 250,1919 to 1944,Owner-occupied,5,purpose built flat,London,England,5 or more
719,11990.5788535736,25698.3724135982,51 to 100,1984 to 1992,Owner-occupied,7,bungalow,East of England,England,2
720,9595.70934351848,18645.3272739055,50 or less,Pre 1919,Council/Housing Association,4,purpose built flat,South West,England,1
721,16085.8932709146,37219.5093631117,Over 250,1945 to 1964,Privately rented,5,converted flat,South East,England,5 or more
722,21018.4856847438,42774.568296051,151 to 200,Pre 1919,Unknown,5,end terrace,West Midlands,England,2
723,13118.4655969224,39939.1023084991,Over 250,Pre 1919,Owner-occupied,6,detached,West Midlands,England,4
724,15795.4861790207,51416.7473908648,151 to 200,1945 to 1964,Unknown,3,purpose built flat,York and Humber,England,1
725,16106.238246272,48014.9692239191,201 to 250,Post 1999,Owner-occupied,5,detached,South West,England,4
726,20826.2925993806,27822.7825064914,Over 250,1965 to 1983,Unknown,4,mid terraced,West Midlands,England,3
727,17540.5614601653,54979.525083793,50 or less,1945 to 1964,Council/Housing Association,5,purpose built flat,East of England,England,2
728,10005.3035105035,30179.8302519503,Over 250,1945 to 1964,Owner-occupied,5,purpose built flat,Unknown,Unknown,4
729,11638.2361020158,26865.3951137444,151 to 200,Pre 1919,Owner-occupied,5,purpose built flat,West Midlands,England,3
730,11426.2795110494,47624.3938673345,50 or less,1984 to 1992,Owner-occupied,5,bungalow,South East,England,4
731,15275.8676753643,38068.4865403073,Over 250,1945 to 1964,Unknown,5,mid terraced,York and Humber,England,2
732,14643.5024293839,49621.235537694,50 or less,1965 to 1983,Council/Housing Association,6,end terrace,London,England,2
733,16256.1918360087,34616.5201965855,50 or less,1965 to 1983,Owner-occupied,6,end terrace,East Midlands,England,2
734,11809.3592503729,23814.5088920179,51 to 100,1919 to 1944,Council/Housing Association,5,mid terraced,South East,England,1
735,13027.6254214425,13463.7731802201,50 or less,1965 to 1983,Privately rented,4,mid terraced,London,England,1
736,17873.2520929102,47152.3461733639,50 or less,Post 1999,Owner-occupied,6,purpose built flat,North West,England,2
737,14229.7408519327,24725.2347784561,50 or less,1984 to 1992,Unknown,5,semi-detached,Unknown,Unknown,2
738,11821.9033116921,38811.9492759851,201 to 250,1965 to 1983,Privately rented,6,detached,London,England,5 or more
739,18872.1009217315,38717.9909191669,201 to 250,Pre 1919,Privately rented,7,detached,North East,England,4
740,14719.5706992206,37929.419030012,51 to 100,Post 1999,Council/Housing Association,3,unknown,East Midlands,England,2
741,10684.745379342,41391.8499118813,201 to 250,1919 to 1944,Privately rented,7,purpose built flat,East Midlands,England,2
742,22073.6030122687,36204.1353448139,50 or less,1919 to 1944,Owner-occupied,6,unknown,Unknown,Unknown,2
743,9595.67156514199,24157.2131138611,101 to 150,Post 1999,Owner-occupied,5,end terrace,West Midlands,England,2
744,6939.40507797885,23693.5624549084,101 to 150,1945 to 1964,Owner-occupied,4,end terrace,West Midlands,England,1
745,4890.06570947506,33761.5680054676,151 to 200,1984 to 1992,Council/Housing Association,5,purpose built flat,West Midlands,England,2
746,17482.3154591391,31788.6990448723,51 to 100,1984 to 1992,Council/Housing Association,5,semi-detached,York and Humber,England,3
747,12351.5986419239,29541.2885963223,50 or less,1965 to 1983,Unknown,4,converted flat,East of England,England,5 or more
748,13464.5572027556,39727.3756345605,51 to 100,Post 1999,Privately rented,4,purpose built flat,East Midlands,England,3
749,15914.9104100813,41971.6372857387,51 to 100,1945 to 1964,Privately rented,5,detached,Unknown,Unknown,1
750,12638.1605435459,38915.7258862596,151 to 200,1919 to 1944,Owner-occupied,5,purpose built flat,Unknown,Unknown,3
751,7689.44946888669,27056.9020221492,101 to 150,Pre 1919,Council/Housing Association,5,unknown,North West,England,5 or more
752,6205.78647906602,32272.4258274597,Over 250,Pre 1919,Unknown,3,bungalow,North West,England,4
753,13185.0869679156,34674.6253930462,201 to 250,1984 to 1992,Privately rented,5,end terrace,Wales,Wales,3
754,15416.6199499493,28280.5301640346,151 to 200,Pre 1919,Privately rented,6,semi-detached,South East,England,4
755,4786.25331044455,40614.7016945464,151 to 200,1945 to 1964,Council/Housing Association,4,converted flat,North East,England,5 or more
756,15919.6183631662,17270.5636028997,201 to 250,Pre 1919,Council/Housing Association,4,purpose built flat,North East,England,3
757,16490.9806250198,43161.3639785535,51 to 100,1993 to 1999,Privately rented,5,detached,West Midlands,England,4
758,20275.6924890858,42169.9982577508,Over 250,1945 to 1964,Owner-occupied,5,converted flat,South West,England,2
759,15373.7323325093,34370.4380279713,50 or less,1945 to 1964,Unknown,6,end terrace,North East,England,2
760,15547.6795144478,28611.5933536979,51 to 100,1984 to 1992,Council/Housing Association,5,unknown,South East,England,3
761,17283.3849896385,33594.0753140038,50 or less,1945 to 1964,Privately rented,5,bungalow,London,England,4
762,14577.9236645853,50256.9950209249,51 to 100,Post 1999,Owner-occupied,5,mid terraced,Unknown,Unknown,4
763,14313.2883715432,32206.503085661,201 to 250,1965 to 1983,Council/Housing Association,5,detached,South West,England,1
764,15161.2050883171,30352.1470998308,50 or less,1984 to 1992,Unknown,6,converted flat,South East,England,5 or more
765,17885.0227374082,28414.8629480331,50 or less,1919 to 1944,Council/Housing Association,7,mid terraced,London,England,5 or more
766,12792.2134854228,26980.1885506946,50 or less,1919 to 1944,Unknown,5,converted flat,North West,England,2
767,12494.8581654,30535.7265026402,Over 250,Pre 1919,Owner-occupied,5,end terrace,North West,England,4
768,10908.3522678699,17069.5102096549,51 to 100,1945 to 1964,Council/Housing Association,5,converted flat,London,England,2
769,10509.8129662554,40055.9283108954,Over 250,1919 to 1944,Owner-occupied,4,purpose built flat,South East,England,5 or more
770,16075.7383979996,35763.3220890193,Over 250,1945 to 1964,Privately rented,5,semi-detached,North East,England,5 or more
771,21370.5796101944,53754.1949315784,101 to 150,1965 to 1983,Council/Housing Association,5,mid terraced,Unknown,Unknown,4
772,10459.5814236422,38583.845686636,51 to 100,1965 to 1983,Unknown,7,mid terraced,South East,England,2
